accuracy,f1_score,precision,recall,model
0.5015411417850443,0.2122206925765117,0.5027596588058204,0.134496644295302,LSTM
0.5021441972661485,0.1647931654676259,0.5069156293222683,0.09838926174496644,LSTM
0.5021441972661485,0.1647931654676259,0.5069156293222683,0.09838926174496644,LSTM
0.5012731171267757,0.09441537899987833,0.5045513654096229,0.052080536912751677,SRNN
0.5066336102921469,0.2327810774200271,0.52026082906381,0.14993288590604026,LSTM
0.5026132404181185,0.43314242077128673,0.5023914968999115,0.3806711409395973,SRNN
0.5089118198874296,0.3230811859240787,0.5179153094462541,0.23476510067114095,CNN
0.504757437684267,0.27132012225179925,0.5109543260304493,0.1846979865771812,CNN
0.4979898150629858,0.32076155938349954,0.4941340782122905,0.2374496644295302,LSTM
0.5077727150897883,0.4454174845236298,0.5089717046238785,0.3959731543624161,SRNN
0.5032833020637899,0.3054436428370655,0.5057399937946013,0.21879194630872484,LSTM
0.4976547842401501,0.3130211674150096,0.49321397632110886,0.22926174496644294,LSTM
0.4993299383543286,0.045721583652618136,0.4710526315789474,0.024026845637583893,CNN
0.5000670061645671,0.04456396465616596,0.48467966573816157,0.023355704697986576,CNN
0.5021441972661485,0.16366501575866726,0.50697350069735,0.09758389261744967,CNN
0.5001340123291342,0.1852337265181302,0.4970691676436108,0.1138255033557047,LSTM
0.5016419811004624,0.3906915765322845,0.5013669821240799,0.3200429587864143,LSTM
0.5061322967629516,0.3990866835195303,0.5083090984628168,0.32850046986172643,SRNN
0.503116413109041,0.2536742500503322,0.5070422535211268,0.16915022150624245,LSTM
0.5069365324039944,0.2827337428097884,0.5163817663817664,0.19465700093972346,LSTM
0.5013739025534482,0.21236502223163245,0.5022533800701051,0.13464894616727077,CNN
0.5008040739748056,0.0,0.0,0.0,CNN
0.5036853390511927,0.3020823518326581,0.5067973442933924,0.21516778523489932,LSTM
0.5008040739748056,0.0,0.0,0.0,CNN
0.5020101849370142,0.49593054801953335,0.5012338908692076,0.49073825503355706,CNN
0.5058295363173412,0.40576907581983723,0.5075589598871195,0.33798657718120806,CNN
0.503819351380327,0.2238759039932921,0.5107604017216643,0.14335570469798659,LSTM
0.508107745912624,0.41473331738818464,0.5107009621048498,0.3491275167785235,CNN
0.5062985794693112,0.21315677061085006,0.5214211076280042,0.13395973154362417,LSTM
0.5008040739748056,0.0,0.0,0.0,SRNN
0.50093808630394,0.0005367686527106817,1.0,0.00026845637583892615,SRNN
0.5006030554811043,0.0002682763246143528,0.2,0.00013422818791946307,LSTM
0.5049936322809839,0.2956604673342871,0.5103720777082648,0.208109559613319,LSTM
0.5023795160533547,0.35252049537763824,0.5029865604778497,0.2713480128893663,SRNN
0.5007708291440445,0.0,0.0,0.0,CNN
0.5009719150077083,0.10484549717446194,0.5017261219792866,0.05853920515574651,CNN
0.506803405053958,0.2517795403701444,0.5188600167644594,0.166219119226638,LSTM
0.5099537502513574,0.32261651070138053,0.5204783258594918,0.23375402792696026,LSTM
0.5086802064481534,0.2973542944785276,0.5197721179624665,0.2082438238453276,LSTM
0.5039211743414438,0.09290354210074765,0.5330520393811533,0.05088614393125671,LSTM
0.48863864870299617,0.4819718883683031,0.48756697348536887,0.47650375939849626,LSTM
0.5069374622964006,0.3040681173131504,0.5147341447789878,0.2157626208378088,SRNN
0.5026476305382398,0.10147735529183821,0.5172839506172839,0.05625671321160043,CNN
0.5016422012199209,0.058979875965067714,0.5143487858719646,0.03128356605800215,LSTM
0.503451973992895,0.08678500986193294,0.5301204819277109,0.047261009667024706,LSTM
0.5026476305382398,0.05717916137229987,0.533175355450237,0.030209452201933405,LSTM
0.5007708291440445,0.0,0.0,0.0,CNN
0.4992291708559555,0.6659811329190325,0.4992291708559555,1.0,CNN
0.5005027146591594,0.02127659574468085,0.4879518072289157,0.010875402792696026,LSTM
0.4992291708559555,0.6659811329190325,0.4992291708559555,1.0,CNN
0.5010389436289295,0.1033485907010359,0.5023419203747073,0.05759935553168636,CNN
0.5007038005228233,0.08048389087766943,0.4992343032159265,0.04377013963480129,CNN
0.5049266036597627,0.14652183961174023,0.5257048092868989,0.08512352309344791,CNN
0.5004356860379382,0.027150502545359615,0.48826291079812206,0.013963480128893663,LSTM
0.505529861250754,0.2807838549283416,0.5126379494482022,0.1933404940923738,SRNN
0.5007708291440445,0.0,0.0,0.0,LSTM
0.5026476305382398,0.05717916137229987,0.533175355450237,0.030209452201933405,CNN-LSTM
0.5026476305382398,0.05717916137229987,0.533175355450237,0.030209452201933405,CNN-LSTM
0.505529861250754,0.2807838549283416,0.5126379494482022,0.1933404940923738,SRNN
0.5049266036597627,0.14652183961174023,0.5257048092868989,0.08512352309344791,CNN
0.5064682619478518,0.28382453068767627,0.5150017649135192,0.19589151450053705,LSTM
0.5064682619478518,0.28382453068767627,0.5150017649135192,0.19589151450053705,LSTM
0.5047925464173202,0.12733286085518544,0.5294695481335953,0.07236842105263158,CNN-SRNN
0.5047925464173202,0.12733286085518544,0.5294695481335953,0.07236842105263158,CNN-SRNN
