accuracy,f1_score,precision,recall,model
0.5015413483447259,0.37327266599258513,0.49134871339840286,0.30095108695652173,LSTM
0.5097171960863155,0.19106590004422822,0.5130641330166271,0.11739130434782609,LSTM
0.5097171960863155,0.19106590004422822,0.5130641330166271,0.11739130434782609,LSTM
0.5086449537595497,0.025518341307814992,0.5853658536585366,0.013043478260869565,SRNN
0.5080418174507438,0.4135176160421826,0.501842156292418,0.3516304347826087,LSTM
0.4942366974936336,0.4220843862470327,0.4835936129145464,0.3744565217391304,SRNN
0.5119286958852701,0.25872773536895677,0.5156186612576065,0.17269021739130436,CNN
0.5043559844524863,0.3298296484233418,0.49510337323177367,0.24728260869565216,CNN
0.4987267122369656,0.4591467823571945,0.490726429675425,0.4313858695652174,LSTM
0.5036858329982576,0.3659246575342466,0.4946759259259259,0.2903532608695652,SRNN
0.5080418174507438,0.2538875902022563,0.5038321903993546,0.16970108695652175,LSTM
0.5067685296877095,0.33943636690001794,0.5,0.25692934782608695,LSTM
0.5093821203592012,0.04112639161755075,0.5709090909090909,0.021331521739130433,CNN
0.5070365902694008,0.026469031233456855,0.5102040816326531,0.01358695652173913,CNN
0.5082428628870125,0.05486862442040186,0.5272277227722773,0.028940217391304347,CNN
0.5062324085243265,0.04361370716510903,0.4883720930232558,0.02282608695652174,LSTM
0.5056300268096515,0.2484206235989403,0.4965376782077393,0.16564750645468135,LSTM
0.5044235924932976,0.3121860465116279,0.4948392804482454,0.22802011142818318,SRNN
0.5085790884718498,0.02422145328719723,0.5870967741935483,0.012365810572088598,LSTM
0.4958445040214477,0.6113866501343252,0.49320663499208134,0.8040494632422883,LSTM
0.5081099195710456,0.28098363867933773,0.5035112359550562,0.19486343253159397,CNN
0.5069025599785552,0.004868812550716798,0.5294117647058824,0.0024456521739130437,CNN
0.5097842112317383,0.08091468777484609,0.5375626043405676,0.04375,LSTM
0.5067685296877095,0.0,0.0,0.0,CNN
0.5071036054148238,0.4407269409170405,0.5004317043688482,0.39375,CNN
0.5100522718134298,0.1525443375449171,0.5193370165745856,0.08940217391304348,CNN
0.5103873475405442,0.0742524075012671,0.5507518796992481,0.03980978260869565,LSTM
0.5116606353035786,0.31209289153214387,0.5112898236931642,0.22459239130434783,CNN
0.5109234687039271,0.13345998575160295,0.5291902071563088,0.07635869565217392,LSTM
0.5067685296877095,0.0,0.0,0.0,SRNN
0.5067685296877095,0.0,0.0,0.0,SRNN
0.5083768931778582,0.2576401538150172,0.5047581284694687,0.17296195652173912,LSTM
0.5077428437353355,0.4214921610336406,0.501311844077961,0.36359929319015905,LSTM
0.5057317154923913,0.4513728700052087,0.4986846432094706,0.41226043224140274,SRNN
0.5072735804786486,0.0150093808630394,0.5333333333333333,0.007611798287345386,CNN
0.5068043172219615,0.0,0.0,0.0,CNN
0.4925923443051552,0.503964873189593,0.48658567451278156,0.5226315074079109,LSTM
0.5072735804786486,0.05502699922859347,0.5083135391923991,0.029087943455212723,LSTM
0.5082121069920226,0.08551483420593368,0.5157894736842106,0.046622264509990484,LSTM
0.5093517463296909,0.3645046453069376,0.5045673076923077,0.2853065108060351,LSTM
0.5061339411409801,0.06876501074453292,0.49097472924187724,0.03697159168139187,LSTM
0.5067372796138634,0.22186971235194586,0.4997617913292044,0.1425852929183091,SRNN
0.5072065428705503,0.039210560711018166,0.5102040816326531,0.020388745412532282,CNN
0.5067372796138634,0.003251151449471688,0.48,0.0016310996330025826,LSTM
0.5065361667895689,0.03740028769452073,0.49310344827586206,0.019437270626614107,LSTM
0.5062009787490782,0.010212308519215264,0.4470588235294118,0.005165148837841511,LSTM
0.4931956827780385,0.6605908233815211,0.4931956827780385,1.0,CNN
0.4931956827780385,0.6605908233815211,0.4931956827780385,1.0,CNN
0.5068043172219615,0.0,0.0,0.0,LSTM
0.5068043172219615,0.0,0.0,0.0,CNN
0.5062680163571763,0.03536345776031434,0.4856115107913669,0.018349870871279053,CNN
0.5024468726955822,0.13375350140056022,0.4731626754748142,0.07788500747587332,CNN
0.49969833076355835,0.14169062679700978,0.46038863976083705,0.08372978116079924,CNN
0.5068043172219615,0.009158249158249159,0.5,0.004621448960173984,LSTM
0.5037876248575451,0.18209944751381216,0.48670998227997636,0.11200217479951068,SRNN
0.5068043172219615,0.0,0.0,0.0,LSTM
0.5062009787490782,0.010212308519215264,0.4470588235294118,0.005165148837841511,CNN-LSTM
0.5062009787490782,0.010212308519215264,0.4470588235294118,0.005165148837841511,CNN-LSTM
0.5037876248575451,0.18209944751381216,0.48670998227997636,0.11200217479951068,SRNN
0.49969833076355835,0.14169062679700978,0.46038863976083705,0.08372978116079924,CNN
0.5064020915733727,0.07114923678566923,0.49473684210526314,0.03833084137556069,LSTM
0.5064020915733727,0.07114923678566923,0.49473684210526314,0.03833084137556069,LSTM
0.5067372796138634,0.0013572204125950054,0.45454545454545453,0.0006796248470844094,CNN-SRNN
0.5067372796138634,0.0013572204125950054,0.45454545454545453,0.0006796248470844094,CNN-SRNN
